time,mean,lower,upper
0,0.26665,0.097131,0.43617
5,0.10413,0.089556,0.11871
10,0.10339,0.0866,0.12018
15,0.10711,0.08884,0.12537
20,0.11231,0.095227,0.1294
25,0.12087,0.10411,0.13762
30,0.12756,0.11121,0.14392
35,0.135,0.11708,0.15292
40,0.14207,0.12374,0.16039
45,0.1495,0.1299,0.16911
50,0.15768,0.13697,0.1784
55,0.16735,0.1462,0.18851
60,0.1774,0.15621,0.19858
65,0.18632,0.16426,0.20838
70,0.20231,0.18063,0.224
75,0.21235,0.18936,0.23534
80,0.22425,0.20057,0.24794
85,0.22983,0.20566,0.254
90,0.24806,0.22405,0.27207
95,0.26033,0.2354,0.28526
100,0.27669,0.25176,0.30162
105,0.28822,0.26377,0.31267
110,0.30533,0.27858,0.33208
115,0.31016,0.28374,0.33658
120,0.33434,0.30661,0.36206
125,0.34661,0.31845,0.37476
130,0.36409,0.33624,0.39194
135,0.38306,0.35408,0.41203
140,0.39198,0.36564,0.41833
145,0.40872,0.38028,0.43715
150,0.43066,0.40179,0.45952
155,0.4433,0.41622,0.47038
160,0.46301,0.43463,0.49139
165,0.48198,0.45266,0.5113
170,0.49797,0.46731,0.52863
175,0.5188,0.49113,0.54647
180,0.53479,0.50393,0.56565
185,0.55859,0.52981,0.58737
190,0.58128,0.55069,0.61186
195,0.6021,0.57215,0.63206
200,0.61735,0.58792,0.64678
205,0.62962,0.59875,0.6605
210,0.6538,0.62142,0.68617
215,0.67537,0.64258,0.70815
220,0.6988,0.6691,0.7285
225,0.71553,0.68308,0.74799
230,0.73487,0.70383,0.76591
235,0.76462,0.73391,0.79533
240,0.7702,0.73603,0.80437
245,0.79623,0.76653,0.82594
250,0.82004,0.78664,0.85343
255,0.84123,0.80886,0.87361
260,0.86206,0.82827,0.89585
265,0.88586,0.85152,0.92021
270,0.90706,0.87105,0.94307
275,0.91933,0.88167,0.957
280,0.94537,0.9113,0.97943
285,0.96656,0.9309,1.0022
290,0.98888,0.95395,1.0238
295,1.0138,0.98168,1.0459
300,1.0383,1.0012,1.0755
305,1.0584,1.0276,1.0893
310,1.0811,1.0477,1.1145
315,1.1023,1.067,1.1377
320,1.122,1.0892,1.1548
325,1.1388,1.0998,1.1777
330,1.1666,1.1356,1.1976
335,1.1864,1.1528,1.2199
340,1.2031,1.1671,1.2391
345,1.228,1.1935,1.2625
350,1.2473,1.2119,1.2828
355,1.2726,1.2371,1.3082
360,1.283,1.2481,1.318
