time,mean,lower,upper
0,593.13,223.06,963.19
5,1086.5,945.83,1227.2
10,1135.5,979.37,1291.6
15,1181.7,1008.7,1354.7
20,1233.8,1073.1,1394.6
25,1291.3,1147.1,1435.5
30,1366.6,1217.8,1515.3
35,1440.3,1288.7,1591.8
40,1509.3,1351.5,1667
45,1569.4,1407,1731.8
50,1615.9,1438,1793.8
55,1652,1482.9,1821.2
60,1671.7,1510,1833.4
65,1711.3,1538.4,1884.3
70,1675.6,1523.3,1827.9
75,1710.8,1556.2,1865.3
80,1725.6,1562.3,1888.9
85,1778.4,1608.8,1948
90,1741.5,1581.1,1902
95,1751.2,1593.7,1908.8
100,1729.9,1576.3,1883.5
105,1748.7,1604.2,1893.2
110,1716.7,1568.8,1864.5
115,1767.1,1620.8,1913.4
120,1706.4,1555.3,1857.4
125,1715.5,1568.3,1862.8
130,1688.6,1546.4,1830.9
135,1658,1516.9,1799.1
140,1673.5,1548.9,1798.2
145,1655.9,1520.8,1790.9
150,1616.4,1489.8,1742.9
155,1599.5,1486.4,1712.5
160,1579.3,1463.8,1694.8
165,1559,1442,1676.1
170,1540.4,1426.4,1654.3
175,1520,1418.7,1621.3
180,1510.3,1401.7,1619
185,1473.1,1374,1572.1
190,1450,1345.5,1554.5
195,1434.3,1340.2,1528.3
200,1425.9,1331.9,1519.9
205,1429.5,1337.7,1521.4
210,1404.3,1318.2,1490.3
215,1386.6,1300.5,1472.8
220,1377.7,1295.2,1460.2
225,1365.7,1281.7,1449.6
230,1351.9,1274.9,1428.9
235,1330.2,1252.9,1407.5
240,1347.6,1264.5,1430.8
245,1325.9,1248.8,1403
250,1310.9,1235.1,1386.7
255,1301.9,1229.6,1374.2
260,1289.2,1215.1,1363.2
265,1282.1,1207,1357.2
270,1274.3,1198.1,1350.4
275,1275.5,1197.7,1353.2
280,1257.5,1188.3,1326.7
285,1255.7,1183.6,1327.9
290,1241.5,1172.2,1310.8
295,1233.9,1168.4,1299.4
300,1223.9,1155,1292.7
305,1219.2,1154.8,1283.6
310,1210.4,1143.7,1277.2
315,1203,1141,1265.1
320,1200,1138.2,1261.8
325,1197.4,1129.3,1265.5
330,1186.2,1129.4,1243
335,1179.9,1120.6,1239.3
340,1181.2,1117.3,1245.1
345,1173.7,1110.9,1236.5
350,1166.1,1104.2,1228
355,1161.8,1102.3,1221.4
360,1162.6,1100.7,1224.6
