time,mean,lower,upper
0,0.069312,0.051725,0.0869
5,0.063438,0.059591,0.067284
10,0.063562,0.059853,0.067272
15,0.065125,0.061547,0.068703
20,0.067688,0.064558,0.070817
25,0.071188,0.067902,0.074473
30,0.074688,0.070854,0.078521
35,0.079188,0.074949,0.083426
40,0.084187,0.079327,0.089048
45,0.088063,0.082918,0.093207
50,0.093813,0.0879,0.099725
55,0.098188,0.091684,0.10469
60,0.10288,0.095437,0.11031
65,0.108,0.099562,0.11644
70,0.114,0.10489,0.12311
75,0.12112,0.11066,0.13159
80,0.12825,0.11681,0.13969
85,0.13606,0.12314,0.14898
90,0.14469,0.13092,0.15846
95,0.15262,0.13761,0.16764
100,0.16256,0.14584,0.17929
105,0.17144,0.15442,0.18846
110,0.18194,0.16302,0.20086
115,0.19237,0.17223,0.21252
120,0.204,0.18264,0.22536
125,0.21519,0.19211,0.23826
130,0.22644,0.20235,0.25052
135,0.23888,0.21325,0.2645
140,0.25062,0.22429,0.27696
145,0.26244,0.23396,0.29091
150,0.27531,0.24623,0.3044
155,0.28762,0.2573,0.31795
160,0.30131,0.26995,0.33268
165,0.31481,0.28187,0.34776
170,0.32963,0.29451,0.36474
175,0.34456,0.30571,0.38342
180,0.35788,0.31666,0.39909
185,0.3735,0.32907,0.41793
190,0.38912,0.34115,0.4371
195,0.40306,0.35212,0.454
200,0.41631,0.3628,0.46982
205,0.43119,0.37327,0.48911
210,0.44294,0.38306,0.50282
215,0.457,0.39206,0.52194
220,0.46781,0.40033,0.53529
225,0.48125,0.41226,0.55024
230,0.49344,0.42198,0.5649
235,0.50769,0.43445,0.58092
240,0.52069,0.44616,0.59522
245,0.53231,0.45637,0.60826
250,0.54169,0.46319,0.62019
255,0.55325,0.47388,0.63262
260,0.56619,0.48468,0.6477
265,0.58137,0.49853,0.66422
270,0.59294,0.50898,0.6769
275,0.60419,0.51952,0.68886
280,0.61587,0.53038,0.70137
285,0.62919,0.54291,0.71546
290,0.63725,0.55055,0.72395
295,0.65181,0.56431,0.73931
300,0.66331,0.57577,0.75085
305,0.68319,0.59636,0.77002
310,0.6935,0.60815,0.77885
315,0.70737,0.62048,0.79427
320,0.71875,0.63198,0.80552
325,0.73294,0.64011,0.82576
330,0.74725,0.65217,0.84233
335,0.76356,0.66288,0.86424
340,0.77381,0.6707,0.87692
345,0.78594,0.68251,0.88937
350,0.79725,0.69406,0.90044
355,0.81219,0.70627,0.9181
360,0.82275,0.71738,0.92812
