time,mean,lower,upper
0,46.233,37.796,54.671
5,49.04,44.615,53.464
10,49.267,44.854,53.68
15,48.47,44.657,52.284
20,47.631,43.861,51.401
25,46.649,43.088,50.209
30,45.319,41.038,49.599
35,44.728,40.258,49.197
40,43.571,38.989,48.152
45,43.176,38.302,48.05
50,42.416,37.443,47.389
55,42.623,37.613,47.634
60,42.469,36.485,48.454
65,41.892,35.482,48.301
70,41.545,35.049,48.042
75,40.771,34.015,47.526
80,39.99,33.498,46.482
85,39.319,32.395,46.242
90,37.877,31.076,44.678
95,37.636,30.47,44.802
100,36.53,29.596,43.464
105,36.078,28.746,43.41
110,34.993,27.632,42.354
115,34.227,26.948,41.506
120,33.448,26.089,40.807
125,32.82,25.456,40.184
130,32.2,24.751,39.649
135,31.63,24.134,39.125
140,31.059,23.787,38.33
145,30.478,23.186,37.77
150,29.736,22.594,36.879
155,29.402,22.358,36.447
160,28.864,22.187,35.541
165,28.616,21.96,35.272
170,27.928,21.601,34.254
175,27.502,21.273,33.731
180,27.133,20.968,33.298
185,26.871,20.768,32.974
190,26.467,20.636,32.299
195,26.247,20.335,32.159
200,26.213,20.594,31.832
205,26.086,20.496,31.676
210,26.129,20.704,31.553
215,26.04,20.865,31.216
220,26.102,20.81,31.393
225,26.092,20.674,31.509
230,26.09,20.604,31.576
235,26.164,20.55,31.778
240,26.218,20.526,31.91
245,26.339,20.488,32.19
250,26.536,20.617,32.455
255,26.673,20.742,32.603
260,26.74,20.635,32.846
265,26.752,20.499,33.004
270,26.931,20.559,33.304
275,27.129,20.477,33.782
280,27.27,20.327,34.213
285,27.441,20.319,34.563
290,27.61,20.437,34.783
295,27.815,20.372,35.259
300,28.047,20.375,35.718
305,27.985,20.139,35.831
310,28.247,20.16,36.334
315,28.436,20.088,36.784
320,28.609,20.05,37.169
325,28.792,20.188,37.396
330,28.775,20.079,37.471
335,28.588,20.145,37.03
340,28.664,20.233,37.096
345,28.711,20.44,36.983
350,28.704,20.597,36.81
355,28.745,20.624,36.867
360,29.001,20.6,37.402
