time,mean,lower,upper
0,29.716,27.746,31.686
5,30.737,28.429,33.044
10,30.675,28.743,32.607
15,29.804,27.706,31.902
20,29.243,27.182,31.304
25,28.203,26.689,29.717
30,27.596,25.817,29.374
35,26.683,25.184,28.182
40,26.022,24.48,27.564
45,25.669,24.026,27.312
50,24.419,22.993,25.845
55,24.173,22.6,25.746
60,23.521,22.024,25.017
65,23.151,21.759,24.543
70,22.923,21.353,24.493
75,22.558,20.824,24.291
80,22.365,20.671,24.059
85,22.138,20.45,23.826
90,21.615,20.086,23.144
95,21.192,19.483,22.901
100,20.74,19.207,22.273
105,20.257,18.885,21.628
110,19.907,18.494,21.32
115,19.541,18.056,21.027
120,19.301,17.98,20.622
125,19.159,17.682,20.636
130,18.879,17.573,20.185
135,18.419,17.253,19.584
140,18.378,16.95,19.807
145,18.18,16.748,19.612
150,17.926,16.488,19.364
155,17.869,16.286,19.452
160,17.32,15.718,18.922
165,17.096,15.484,18.707
170,17.045,15.5,18.589
175,16.833,15.103,18.564
180,16.595,15.016,18.174
185,16.406,14.68,18.132
190,16.386,14.615,18.156
195,16.258,14.524,17.992
200,16.096,14.22,17.972
205,15.903,14.074,17.731
210,15.721,13.939,17.502
215,15.555,13.793,17.316
220,15.493,13.685,17.302
225,15.329,13.566,17.092
230,15.294,13.576,17.013
235,15.159,13.404,16.915
240,15.025,13.297,16.753
245,14.912,13.128,16.696
250,14.923,13.107,16.739
255,14.819,13.032,16.607
260,14.799,13.082,16.517
265,14.857,12.966,16.747
270,14.959,13.042,16.875
275,15.117,13.15,17.085
280,15.107,13.115,17.098
285,15.226,13.255,17.197
290,15.343,13.306,17.381
295,15.401,13.247,17.555
300,15.66,13.563,17.757
305,15.687,13.527,17.846
310,15.801,13.594,18.007
315,15.96,13.688,18.231
320,16.116,13.805,18.426
325,16.173,13.856,18.49
330,16.097,13.747,18.447
335,15.965,13.606,18.324
340,15.823,13.518,18.128
345,15.723,13.466,17.98
350,15.516,13.224,17.808
355,15.555,13.302,17.808
360,15.745,13.435,18.054
