time,mean,lower,upper
0,0.061375,0.056383,0.066367
5,0.059438,0.054405,0.06447
10,0.058812,0.053921,0.063704
15,0.0605,0.055468,0.065532
20,0.06275,0.058147,0.067353
25,0.065563,0.061297,0.069828
30,0.0685,0.064723,0.072277
35,0.072,0.068241,0.075759
40,0.07625,0.072336,0.080164
45,0.080563,0.075873,0.085252
50,0.086125,0.080636,0.091614
55,0.090813,0.084488,0.097137
60,0.095438,0.088268,0.10261
65,0.10025,0.091706,0.10879
70,0.10437,0.094853,0.1139
75,0.11013,0.098882,0.12137
80,0.11519,0.10271,0.12767
85,0.12213,0.10799,0.13626
90,0.12825,0.1126,0.1439
95,0.13581,0.11887,0.15276
100,0.14238,0.12383,0.16092
105,0.1505,0.13025,0.17075
110,0.15731,0.13538,0.17925
115,0.16594,0.14222,0.18965
120,0.17475,0.14926,0.20024
125,0.18288,0.15706,0.20869
130,0.19194,0.16468,0.2192
135,0.20175,0.1719,0.2316
140,0.21063,0.17993,0.24132
145,0.21981,0.1875,0.25213
150,0.23019,0.19578,0.2646
155,0.24044,0.2041,0.27677
160,0.25169,0.21299,0.29038
165,0.26162,0.22145,0.3018
170,0.27363,0.23102,0.31623
175,0.28325,0.23955,0.32695
180,0.29519,0.24948,0.34089
185,0.30556,0.25887,0.35226
190,0.31737,0.26915,0.3656
195,0.3285,0.27868,0.37832
200,0.34025,0.28857,0.39193
205,0.35344,0.30036,0.40652
210,0.36631,0.31257,0.42005
215,0.37975,0.32495,0.43455
220,0.393,0.33653,0.44947
225,0.40669,0.34917,0.46421
230,0.42088,0.36137,0.48038
235,0.43587,0.3744,0.49735
240,0.45275,0.38937,0.51613
245,0.46738,0.40327,0.53148
250,0.48094,0.4148,0.54707
255,0.49425,0.42636,0.56214
260,0.50938,0.43821,0.58054
265,0.52144,0.44673,0.59614
270,0.53444,0.45783,0.61104
275,0.543,0.46567,0.62033
280,0.55475,0.47146,0.63804
285,0.56531,0.47968,0.65095
290,0.5735,0.48723,0.65977
295,0.58463,0.49797,0.67128
300,0.59263,0.50449,0.68076
305,0.60687,0.51731,0.69644
310,0.61612,0.52449,0.70776
315,0.62788,0.53604,0.71971
320,0.63819,0.54276,0.73361
325,0.65125,0.55456,0.74794
330,0.66569,0.56884,0.76253
335,0.68906,0.59206,0.78606
340,0.70894,0.6135,0.80438
345,0.72787,0.63339,0.82236
350,0.75156,0.65617,0.84695
355,0.76719,0.67518,0.85919
360,0.77881,0.68529,0.87233
