time,mean,lower,upper
0,254.06,188.65,319.46
5,249.15,185.33,312.97
10,242.46,182.48,302.44
15,234.39,177.27,291.51
20,230.76,174.98,286.54
25,227.49,173.33,281.64
30,221.89,169.65,274.13
35,215.96,166.17,265.75
40,209.26,162.54,255.97
45,203.62,159.8,247.44
50,199.68,157.03,242.34
55,195.45,155.48,235.41
60,192.03,154.11,229.95
65,188.24,152.07,224.41
70,185.48,150.3,220.66
75,179.04,147.12,210.96
80,173.87,144.78,202.96
85,168.28,140.76,195.8
90,162.36,137.03,187.68
95,157.05,134.04,180.06
100,152.13,130.83,173.44
105,146.74,127.84,165.63
110,141.15,124.21,158.09
115,136.97,120.59,153.35
120,132.4,117.92,146.88
125,127.74,113.77,141.71
130,124.18,111.2,137.16
135,121.13,108.15,134.12
140,117.93,105.32,130.53
145,114,102.04,125.95
150,111.06,99.899,122.22
155,107.95,96.487,119.41
160,104.84,93.93,115.76
165,103.39,92.291,114.49
170,100.92,90.713,111.12
175,99.247,89.032,109.46
180,97.75,88.055,107.45
185,96.56,86.508,106.61
190,95.509,85.553,105.47
195,94.199,84.352,104.05
200,93.41,83.433,103.39
205,92.413,82.498,102.33
210,91.95,81.748,102.15
215,92.077,81.647,102.51
220,91.866,81.361,102.37
225,91.517,81.297,101.74
230,92.354,81.709,103
235,93.563,82.287,104.84
240,94.021,82.486,105.56
245,94.393,82.788,106
250,95.674,83.665,107.68
255,96.529,84.111,108.95
260,97.009,84.362,109.66
265,98.26,85.333,111.19
270,99.317,86.293,112.34
275,100.3,86.775,113.82
280,101.29,87.312,115.28
285,102.78,88.516,117.05
290,103.78,89.197,118.36
295,105.38,90.192,120.57
300,106.87,91.374,122.36
305,108.64,92.763,124.53
310,109.79,93.566,126.02
315,111.2,94.369,128.03
320,113.09,95.807,130.38
325,114.8,96.775,132.83
330,117.19,98.461,135.91
335,118.56,99.522,137.6
340,120.48,100.76,140.19
345,122.57,101.98,143.16
350,124.28,103.17,145.38
355,126.51,104.52,148.49
360,128.44,105.56,151.31
