time,mean,lower,upper
0,0.11157,0.084962,0.13818
5,0.092603,0.079447,0.10576
10,0.090371,0.077161,0.10358
15,0.089628,0.075673,0.10358
20,0.090371,0.076081,0.10466
25,0.092603,0.079781,0.10542
30,0.09595,0.084379,0.10752
35,0.10264,0.092284,0.113
40,0.10413,0.093463,0.1148
45,0.11045,0.099905,0.121
50,0.11492,0.10385,0.12598
55,0.12012,0.10844,0.1318
60,0.12682,0.11586,0.13777
65,0.13463,0.12327,0.14598
70,0.14467,0.13277,0.15657
75,0.15285,0.13993,0.16577
80,0.1614,0.14849,0.17432
85,0.16661,0.15171,0.18151
90,0.18111,0.1644,0.19783
95,0.19078,0.17055,0.21102
100,0.20231,0.18052,0.2241
105,0.2157,0.19191,0.23949
110,0.22835,0.19948,0.25721
115,0.2369,0.2023,0.2715
120,0.25549,0.21738,0.29361
125,0.26851,0.22653,0.31049
130,0.28525,0.23922,0.33128
135,0.30087,0.25033,0.3514
140,0.31537,0.26205,0.36869
145,0.33099,0.2728,0.38918
150,0.34698,0.28317,0.41079
155,0.36334,0.29697,0.42972
160,0.37934,0.30767,0.451
165,0.39607,0.3188,0.47334
170,0.41541,0.33351,0.49731
175,0.4262,0.33998,0.51241
180,0.44293,0.35072,0.53514
185,0.4671,0.37435,0.55986
190,0.4883,0.38991,0.5867
195,0.51136,0.41162,0.6111
200,0.52326,0.41609,0.63044
205,0.54074,0.42965,0.65183
210,0.55301,0.43728,0.66874
215,0.57867,0.45984,0.69751
220,0.59392,0.47127,0.71657
225,0.61549,0.48947,0.74152
230,0.63223,0.50286,0.76159
235,0.64859,0.51488,0.7823
240,0.6657,0.52806,0.80333
245,0.68913,0.55059,0.82767
250,0.70847,0.56519,0.85174
255,0.72781,0.58077,0.87484
260,0.74194,0.59371,0.89017
265,0.7609,0.60633,0.91548
270,0.78359,0.62874,0.93844
275,0.79252,0.63203,0.95301
280,0.81223,0.6536,0.97085
285,0.83231,0.67263,0.99199
290,0.8576,0.69721,1.018
295,0.86875,0.7034,1.0341
300,0.88698,0.7197,1.0543
305,0.90632,0.73992,1.0727
310,0.929,0.76069,1.0973
315,0.95094,0.78311,1.1188
320,0.96842,0.79747,1.1394
325,0.99185,0.81885,1.1649
330,1.0183,0.8542,1.1823
335,1.0395,0.87008,1.2088
340,1.0439,0.87134,1.2165
345,1.0651,0.89119,1.239
350,1.0841,0.912,1.2562
355,1.1123,0.94242,1.2823
360,1.1164,0.94155,1.2913
