time,mean,lower,upper
0,0.25516,0.20786,0.30245
5,0.24796,0.20769,0.28823
10,0.2492,0.2126,0.2858
15,0.25505,0.22033,0.28976
20,0.26854,0.23744,0.29964
25,0.27967,0.24731,0.31204
30,0.28653,0.25494,0.31813
35,0.29238,0.2601,0.32466
40,0.29834,0.26642,0.33026
45,0.30734,0.27372,0.34095
50,0.31611,0.2825,0.34972
55,0.32353,0.29053,0.35653
60,0.33151,0.29686,0.36617
65,0.3404,0.3071,0.3737
70,0.34849,0.31365,0.38334
75,0.35862,0.32424,0.39299
80,0.36772,0.33295,0.4025
85,0.38021,0.34523,0.41518
90,0.3892,0.35527,0.42314
95,0.40045,0.36619,0.43471
100,0.41271,0.37644,0.44897
105,0.42834,0.38992,0.46676
110,0.44296,0.40469,0.48122
115,0.45623,0.41849,0.49396
120,0.47264,0.43425,0.51103
125,0.4867,0.45024,0.52316
130,0.50323,0.46491,0.54156
135,0.52179,0.48061,0.56296
140,0.54225,0.50063,0.58388
145,0.56744,0.52931,0.60558
150,0.58543,0.54326,0.62761
155,0.60815,0.56411,0.65219
160,0.63177,0.58387,0.67966
165,0.65673,0.60799,0.70547
170,0.68282,0.62964,0.736
175,0.71453,0.65965,0.76941
180,0.73972,0.68189,0.79756
185,0.77132,0.71352,0.82912
190,0.79527,0.73317,0.85738
195,0.82114,0.75826,0.88402
200,0.8416,0.7781,0.90511
205,0.86578,0.79877,0.93279
210,0.89243,0.82112,0.96375
215,0.91729,0.83918,0.9954
220,0.94551,0.86248,1.0285
225,0.97216,0.888,1.0563
230,1.0115,0.92181,1.1012
235,1.0377,0.95098,1.1245
240,1.0779,0.98593,1.1698
245,1.1159,1.0262,1.2055
250,1.1546,1.0592,1.2499
255,1.1934,1.1026,1.2841
260,1.2371,1.1498,1.3244
265,1.2782,1.195,1.3613
270,1.3255,1.241,1.41
275,1.3839,1.3003,1.4674
280,1.4304,1.3482,1.5126
285,1.48,1.3949,1.5651
290,1.5285,1.4435,1.6134
295,1.5803,1.4948,1.6659
300,1.6334,1.5469,1.7198
305,1.7001,1.6111,1.7891
310,1.7428,1.6467,1.8389
315,1.7918,1.695,1.8887
320,1.8481,1.7421,1.9541
325,1.8984,1.7835,2.0134
330,1.9514,1.8331,2.0697
335,2.0013,1.8767,2.126
340,2.0563,1.9233,2.1894
345,2.1019,1.9578,2.2459
350,2.1515,2.0013,2.3016
355,2.1988,2.0384,2.3592
360,2.2439,2.0729,2.4149
