time,mean,lower,upper
0,433.93,377.81,490.04
5,470.14,410.44,529.85
10,510.05,447.83,572.26
15,559.53,493.37,625.69
20,607.33,538.95,675.72
25,654.33,581.89,726.77
30,704.44,628.03,780.84
35,749.26,668.6,829.93
40,792.67,710.45,874.9
45,824.75,740.05,909.44
50,857.16,769.05,945.26
55,883.05,793.98,972.13
60,913.59,819.85,1007.3
65,938.5,845.87,1031.1
70,960.98,860.58,1061.4
75,977.84,880.18,1075.5
80,992.72,893.04,1092.4
85,1006.4,906.68,1106.1
90,1021.5,923.26,1119.8
95,1029,929.53,1128.5
100,1035.3,930.9,1139.8
105,1036.5,927.79,1145.2
110,1036.4,928.79,1143.9
115,1035.2,928.05,1142.4
120,1031.7,924.85,1138.6
125,1029.9,923.05,1136.7
130,1023.2,916.42,1130
135,1014.7,903.33,1126.1
140,1000.3,888.2,1112.4
145,983.19,870.41,1096
150,973.14,856.97,1089.3
155,959.91,837.95,1081.9
160,946.93,824.19,1069.7
165,933.14,801.82,1064.5
170,916.79,779.81,1053.8
175,894.62,754.88,1034.4
180,878.04,739.48,1016.6
185,861.13,718.6,1003.7
190,854.25,702.75,1005.8
195,840.79,687.72,993.87
200,834.36,679.38,989.34
205,825.68,665.24,986.12
210,814.83,650.72,978.94
215,804.92,633.66,976.18
220,792.49,619.91,965.08
225,780.97,605.89,956.05
230,759.75,586.4,933.1
235,746.85,571.29,922.4
240,727.26,554.73,899.8
245,710.85,538.31,883.38
250,690.7,521.43,859.97
255,677.81,509.01,846.62
260,660.39,495.06,825.73
265,644.8,481.99,807.61
270,626.64,465.9,787.38
275,607.28,448.08,766.48
280,592.76,434.53,750.99
285,578.91,421.79,736.03
290,564.2,408.67,719.73
295,549.64,395.36,703.92
300,534.58,381.76,687.41
305,520.53,369.35,671.7
310,510.73,358.27,663.2
315,497.68,346.59,648.76
320,487.28,335.83,638.74
325,478.1,326.92,629.27
330,467.66,317.17,618.15
335,458.36,308.55,608.17
340,446.31,298.65,593.98
345,440.79,291.84,589.74
350,430.93,283.24,578.61
355,423.31,275.89,570.73
360,415.09,268.03,562.16
