time,mean,lower,upper
0,90.282,78.071,102.49
5,89.083,74.961,103.2
10,86.892,71.26,102.52
15,83.652,66.359,100.94
20,81.024,63.041,99.007
25,77.795,60.01,95.58
30,74.416,56.568,92.264
35,71.699,54.899,88.499
40,68.722,52.787,84.658
45,65.696,50.2,81.192
50,62.72,48.006,77.435
55,60.025,45.48,74.569
60,57.894,43.256,72.532
65,55.727,41.182,70.272
70,54.162,39.238,69.085
75,52.476,37.353,67.6
80,51.304,35.633,66.975
85,50.152,34.001,66.304
90,49.245,32.694,65.796
95,48.4,31.434,65.366
100,48.019,30.468,65.57
105,47.356,29.299,65.412
110,47.283,28.723,65.843
115,47.095,28.34,65.85
120,47.088,27.951,66.225
125,46.824,27.405,66.244
130,47.016,27.117,66.915
135,47.083,26.979,67.187
140,47.562,27.118,68.007
145,47.709,26.948,68.47
150,48.368,27.388,69.348
155,48.946,27.565,70.328
160,49.587,27.915,71.259
165,50.256,28.246,72.266
170,50.889,28.631,73.147
175,51.6,28.822,74.378
180,52.474,29.468,75.481
185,53.249,29.901,76.597
190,54.015,30.327,77.703
195,54.622,30.582,78.662
200,55.662,31.129,80.195
205,56.304,31.416,81.192
210,57.189,31.944,82.433
215,57.937,32.243,83.631
220,58.772,32.601,84.943
225,59.34,32.807,85.872
230,60.154,33.014,87.294
235,60.971,33.449,88.492
240,61.748,33.724,89.772
245,62.888,34.328,91.448
250,63.835,34.977,92.693
255,64.755,35.357,94.152
260,65.988,35.923,96.053
265,66.742,36.352,97.133
270,68.161,37.08,99.241
275,68.935,37.596,100.27
280,70.165,38.004,102.33
285,71.175,38.798,103.55
290,72.876,39.622,106.13
295,73.883,40.227,107.54
300,75.126,40.995,109.26
305,75.617,41.365,109.87
310,76.889,41.887,111.89
315,77.419,42.196,112.64
320,79.003,42.895,115.11
325,79.42,43.123,115.72
330,80.989,43.884,118.09
335,81.758,44.095,119.42
340,83.085,44.686,121.48
345,84.104,45.186,123.02
350,85.005,45.713,124.3
355,86.629,46.356,126.9
360,87.828,47.02,128.64
