time,mean,lower,upper
0,0.074437,0.058744,0.090131
5,0.076,0.061573,0.090427
10,0.079312,0.066313,0.092312
15,0.084437,0.072558,0.096317
20,0.090062,0.078646,0.10148
25,0.09675,0.084717,0.10878
30,0.10494,0.092468,0.11741
35,0.11256,0.097648,0.12748
40,0.12206,0.10509,0.13903
45,0.13275,0.11401,0.15149
50,0.14456,0.12391,0.16521
55,0.15706,0.13464,0.17948
60,0.16956,0.14651,0.19261
65,0.18338,0.1582,0.20855
70,0.19694,0.17231,0.22156
75,0.21169,0.1868,0.23658
80,0.22606,0.20135,0.25078
85,0.24281,0.21965,0.26597
90,0.2595,0.23667,0.28233
95,0.276,0.25344,0.29856
100,0.293,0.27003,0.31597
105,0.31106,0.28594,0.33619
110,0.328,0.29968,0.35632
115,0.345,0.31434,0.37566
120,0.36219,0.32771,0.39666
125,0.38112,0.3432,0.41905
130,0.3995,0.3577,0.4413
135,0.41681,0.37282,0.46081
140,0.43431,0.3874,0.48122
145,0.45338,0.40218,0.50457
150,0.47031,0.41634,0.52429
155,0.48194,0.42789,0.53599
160,0.49675,0.44032,0.55318
165,0.51019,0.45198,0.56839
170,0.52481,0.46423,0.5854
175,0.53994,0.47772,0.60215
180,0.55556,0.48969,0.62144
185,0.56581,0.49994,0.63169
190,0.58056,0.51178,0.64934
195,0.59719,0.52836,0.66601
200,0.60994,0.53841,0.68147
205,0.62894,0.55926,0.69862
210,0.64213,0.57052,0.71373
215,0.65638,0.58729,0.72546
220,0.67169,0.60031,0.74306
225,0.68594,0.61912,0.75276
230,0.70163,0.63771,0.76554
235,0.71419,0.65075,0.77763
240,0.72456,0.66311,0.78601
245,0.73538,0.67447,0.79628
250,0.74687,0.68528,0.80847
255,0.75788,0.69568,0.82007
260,0.77025,0.71035,0.83015
265,0.77931,0.72097,0.83766
270,0.78956,0.72864,0.85049
275,0.79594,0.73777,0.85411
280,0.80581,0.74798,0.86365
285,0.81194,0.75416,0.86972
290,0.81669,0.7568,0.87658
295,0.8245,0.765,0.884
300,0.83087,0.76883,0.89292
305,0.84025,0.77953,0.90097
310,0.84525,0.78475,0.90575
315,0.86006,0.80172,0.91841
320,0.86119,0.80119,0.92119
325,0.87662,0.82133,0.93192
330,0.87638,0.81918,0.93357
335,0.88881,0.83614,0.94149
340,0.894,0.84035,0.94765
345,0.90144,0.84908,0.9538
350,0.90913,0.85763,0.96062
355,0.91119,0.85905,0.96332
360,0.914,0.86109,0.96691
