time,mean,lower,upper
0,739.47,397.7,1081.2
5,914.03,630.17,1197.9
10,936.81,634.87,1238.8
15,966.88,646.31,1287.5
20,992.1,658.87,1325.3
25,1016.9,670.83,1363
30,1028.7,677.93,1379.5
35,1028.1,676.44,1379.8
40,1053.2,669.64,1436.8
45,1051.3,666.1,1436.5
50,1047.8,641.75,1453.8
55,1045.1,616.45,1473.8
60,1028.4,586.74,1470.1
65,1012.7,559,1466.4
70,991.06,538.69,1443.4
75,983.08,515.37,1450.8
80,972.29,499.94,1444.6
85,982.74,489.78,1475.7
90,955.61,475.02,1436.2
95,954.09,464.23,1443.9
100,946.29,458.78,1433.8
105,940.69,455.51,1425.9
110,935.81,449.59,1422
115,948.45,445.1,1451.8
120,930.96,439.72,1422.2
125,931.55,436.66,1426.4
130,923.26,434.05,1412.5
135,919.86,429,1410.7
140,921.75,427.62,1415.9
145,917.39,421.82,1413
150,915.97,418.5,1413.4
155,910.5,415.37,1405.6
160,913.38,413.19,1413.6
165,911.39,410.31,1412.5
170,903.35,403.57,1403.1
175,915.73,402.64,1428.8
180,914.63,400.18,1429.1
185,900.05,396.91,1403.2
190,889.72,389.87,1389.6
195,882.44,388.84,1376
200,888.54,382.73,1394.3
205,890.04,384.05,1396
210,894.36,385.77,1403
215,886.76,386.22,1387.3
220,889.83,390.14,1389.5
225,887.97,392.22,1383.7
230,886.68,392.45,1380.9
235,891.37,392.62,1390.1
240,891,390.87,1391.1
245,884.64,389,1380.3
250,880.26,388.55,1372
255,878.74,386.53,1371
260,882.77,389.62,1375.9
265,883.58,387.54,1379.6
270,878.51,386.47,1370.6
275,883.91,383.03,1384.8
280,879.78,385.32,1374.2
285,877.31,387.9,1366.7
290,869.45,383.83,1355.1
295,874.25,383.64,1364.9
300,873.48,382.16,1364.8
305,869.64,382.94,1356.3
310,862.66,380.63,1344.7
315,858.32,381.23,1335.4
320,855.66,376.91,1334.4
325,850.09,375.47,1324.7
330,841.05,376.06,1306
335,834.95,368.81,1301.1
340,840.04,367.96,1312.1
345,835.32,364.8,1305.8
350,830.56,364.55,1296.6
355,822.85,360.72,1285
360,824.98,356.01,1293.9
