time,mean,lower,upper
0,0.19946,0.070734,0.32819
5,0.13223,0.091511,0.17295
10,0.13269,0.08944,0.17593
15,0.1369,0.089012,0.18479
20,0.14533,0.089477,0.20118
25,0.1564,0.091835,0.22097
30,0.1683,0.094749,0.24186
35,0.18227,0.1009,0.26364
40,0.19554,0.10217,0.28891
45,0.21012,0.10792,0.31233
50,0.22768,0.11141,0.34395
55,0.24785,0.11574,0.37996
60,0.27132,0.12091,0.42173
65,0.29496,0.12667,0.46325
70,0.32186,0.13489,0.50883
75,0.34806,0.14114,0.55497
80,0.37491,0.14765,0.60218
85,0.39578,0.15039,0.64117
90,0.42785,0.16248,0.69322
95,0.45396,0.16923,0.7387
100,0.48256,0.17805,0.78707
105,0.50851,0.18854,0.82848
110,0.53789,0.19814,0.87764
115,0.55826,0.20204,0.91448
120,0.59462,0.21736,0.97189
125,0.62219,0.2264,1.018
130,0.65227,0.23951,1.065
135,0.68504,0.25173,1.1183
140,0.71309,0.26083,1.1654
145,0.74566,0.27228,1.219
150,0.7759,0.28624,1.2656
155,0.80549,0.29883,1.3121
160,0.83462,0.31156,1.3577
165,0.86797,0.32507,1.4109
170,0.90681,0.34072,1.4729
175,0.92582,0.35163,1.5
180,0.95789,0.3653,1.5505
185,0.99756,0.38621,1.6089
190,1.0358,0.40453,1.667
195,1.0691,0.42604,1.7122
200,1.0949,0.43705,1.7528
205,1.1177,0.45419,1.7813
210,1.1323,0.46791,1.7966
215,1.1562,0.49113,1.8213
220,1.17,0.50852,1.8314
225,1.1895,0.52952,1.8494
230,1.2106,0.54551,1.8757
235,1.2357,0.56232,1.9091
240,1.259,0.57758,1.9405
245,1.2893,0.599,1.9796
250,1.3172,0.61851,2.0159
255,1.3443,0.63622,2.0524
260,1.3602,0.65116,2.0692
265,1.3896,0.66775,2.1115
270,1.4228,0.69129,2.1544
275,1.4428,0.69984,2.1858
280,1.4633,0.71903,2.2076
285,1.4902,0.74037,2.2401
290,1.5228,0.76346,2.2821
295,1.5411,0.7759,2.3064
300,1.5719,0.79461,2.3492
305,1.6061,0.81221,2.4
310,1.6311,0.83547,2.4267
315,1.6608,0.85772,2.4639
320,1.6921,0.87456,2.5096
325,1.717,0.89795,2.5361
330,1.7496,0.92366,2.5755
335,1.7907,0.94537,2.6361
340,1.7957,0.95301,2.6384
345,1.8264,0.9735,2.6794
350,1.8453,0.99399,2.6966
355,1.8889,1.0207,2.7571
360,1.901,1.0267,2.7753
