time,mean,lower,upper
0,6.381,6.0046,6.7574
5,6.2896,5.9412,6.6381
10,5.8366,5.4913,6.182
15,5.571,5.3593,5.7827
20,5.2461,4.808,5.6843
25,4.9007,4.6843,5.1171
30,4.5843,4.3792,4.7895
35,4.2791,4.0488,4.5094
40,4.0974,3.8725,4.3224
45,3.8761,3.7007,4.0515
50,3.6474,3.3921,3.9026
55,3.5379,3.3527,3.7231
60,3.4148,3.1756,3.6541
65,3.2551,2.9993,3.5109
70,3.1771,2.9273,3.4269
75,3.1132,2.9263,3.3
80,3.05,2.8432,3.2569
85,2.9977,2.8229,3.1725
90,2.966,2.7631,3.1689
95,2.9024,2.7095,3.0954
100,2.8547,2.6848,3.0245
105,2.9023,2.6894,3.1152
110,2.9023,2.6861,3.1186
115,2.918,2.6714,3.1647
120,2.9018,2.6699,3.1336
125,2.8831,2.6352,3.1311
130,2.8654,2.6245,3.1064
135,2.8615,2.5955,3.1276
140,2.9101,2.6419,3.1782
145,2.9248,2.6309,3.2187
150,2.9228,2.6217,3.2238
155,2.9874,2.6791,3.2957
160,3.0159,2.7079,3.3239
165,3.0596,2.7202,3.399
170,3.0939,2.7707,3.4172
175,3.1105,2.7537,3.4673
180,3.1479,2.7901,3.5057
185,3.2263,2.855,3.5975
190,3.2633,2.8787,3.6479
195,3.2646,2.9164,3.6128
200,3.3227,2.9492,3.6961
205,3.3736,3.0054,3.7417
210,3.4437,3.06,3.8273
215,3.4832,3.1078,3.8585
220,3.5307,3.1242,3.9372
225,3.5904,3.1752,4.0057
230,3.6391,3.2119,4.0664
235,3.6958,3.2677,4.1238
240,3.7784,3.3041,4.2527
245,3.8323,3.3548,4.3098
250,3.8798,3.3952,4.3644
255,3.9493,3.4562,4.4424
260,4.0102,3.4914,4.529
265,4.0895,3.5662,4.6128
270,4.15,3.6358,4.6643
275,4.2219,3.675,4.7688
280,4.2869,3.7003,4.8734
285,4.3714,3.8008,4.9419
290,4.4383,3.844,5.0326
295,4.4878,3.8871,5.0886
300,4.5523,3.945,5.1597
305,4.6295,4.0018,5.2571
310,4.6823,4.0634,5.3012
315,4.7313,4.0818,5.3809
320,4.8209,4.1667,5.4752
325,4.8548,4.1707,5.5389
330,4.9419,4.267,5.6167
335,5.0124,4.3018,5.723
340,5.0831,4.3871,5.7792
345,5.1517,4.4053,5.8982
350,5.2278,4.4734,5.9822
355,5.3069,4.547,6.0667
360,5.366,4.5846,6.1474
