time,mean,lower,upper
0,723.68,621.92,825.44
5,764.97,652.38,877.55
10,810.02,685.72,934.31
15,858.6,731.6,985.6
20,903.93,775.74,1032.1
25,956.26,830.65,1081.9
30,1004.1,867.6,1140.5
35,1054.8,928.51,1181.1
40,1102.3,975.04,1229.5
45,1134.4,999.86,1268.9
50,1162.6,1029.4,1295.8
55,1196.1,1055.9,1336.3
60,1222.6,1086.8,1358.3
65,1243.9,1108,1379.8
70,1256.9,1123.5,1390.3
75,1274.9,1143.4,1406.4
80,1280.6,1149.7,1411.4
85,1290.8,1157.8,1423.9
90,1287.2,1156.9,1417.5
95,1292.2,1163.8,1420.6
100,1291.4,1162.7,1420
105,1289,1158.6,1419.4
110,1279.3,1144.1,1414.4
115,1275,1134.2,1415.9
120,1274.9,1129.3,1420.5
125,1283.2,1123.2,1443.3
130,1289.6,1122.7,1456.4
135,1289.5,1118.3,1460.6
140,1289.5,1109,1470
145,1303,1114.9,1491.1
150,1301.8,1116,1487.6
155,1300,1113.1,1486.8
160,1297.4,1112.9,1481.8
165,1292.1,1113,1471.2
170,1290.7,1118.4,1463.1
175,1283.2,1108.1,1458.4
180,1275.6,1106.7,1444.5
185,1273.9,1104.8,1442.9
190,1266.1,1101.2,1431
195,1254.4,1091.9,1416.9
200,1250.6,1088.7,1412.5
205,1247.1,1085.1,1409.1
210,1238.9,1076.6,1401.1
215,1229.1,1061.8,1396.4
220,1217.2,1054.3,1380
225,1210.6,1041,1380.2
230,1199,1029.6,1368.4
235,1191.3,1021.2,1361.4
240,1180.5,1009.6,1351.4
245,1167,995.22,1338.9
250,1152.3,981.51,1323.1
255,1143.4,966.46,1320.4
260,1137.1,958.95,1315.2
265,1124.6,950.69,1298.4
270,1111.2,937.54,1284.9
275,1102.6,921.51,1283.7
280,1087.2,907.8,1266.6
285,1078.7,901.22,1256.2
290,1064.8,888.93,1240.6
295,1051.4,875.9,1226.8
300,1033.7,854.79,1212.5
305,1023.1,842.76,1203.4
310,1012.6,834.3,1191
315,1001.6,821.45,1181.8
320,990.58,810.16,1171
325,978.82,800.18,1157.5
330,963.38,777.94,1148.8
335,951.59,762.69,1140.5
340,941.11,752.91,1129.3
345,941.34,749.92,1132.8
350,926.43,730.92,1121.9
355,921.42,725.63,1117.2
360,914.13,717.46,1110.8
