time,mean,lower,upper
0,0.3025,0.25701,0.348
5,0.29216,0.24692,0.33739
10,0.29058,0.23794,0.34322
15,0.2953,0.24334,0.34726
20,0.30779,0.25777,0.3578
25,0.32004,0.27596,0.36413
30,0.33376,0.27998,0.38755
35,0.34017,0.29976,0.38058
40,0.34726,0.3081,0.38642
45,0.35772,0.31441,0.40102
50,0.36817,0.32718,0.40917
55,0.37605,0.33372,0.41838
60,0.38628,0.34488,0.42768
65,0.39786,0.35685,0.43887
70,0.41012,0.36855,0.45169
75,0.42249,0.3816,0.46338
80,0.43981,0.39794,0.48167
85,0.4551,0.41431,0.49589
90,0.47354,0.4333,0.51379
95,0.4894,0.44821,0.53059
100,0.5093,0.46727,0.55134
105,0.52921,0.48673,0.57169
110,0.55249,0.50651,0.59846
115,0.57284,0.52732,0.61836
120,0.59083,0.54409,0.63758
125,0.60691,0.55511,0.65872
130,0.62693,0.5722,0.68167
135,0.64706,0.58674,0.70738
140,0.66629,0.59744,0.73513
145,0.68293,0.60716,0.75871
150,0.70621,0.62481,0.78761
155,0.72859,0.64225,0.81493
160,0.75097,0.66236,0.83957
165,0.77402,0.68632,0.86172
170,0.79494,0.70697,0.8829
175,0.8253,0.73105,0.91954
180,0.8506,0.7575,0.9437
185,0.87028,0.7766,0.96396
190,0.89862,0.80326,0.99398
195,0.93202,0.8323,1.0317
200,0.9544,0.85324,1.0556
205,0.97824,0.87517,1.0813
210,1.0119,0.90281,1.1209
215,1.0456,0.93131,1.1599
220,1.0807,0.96,1.2014
225,1.1079,0.98507,1.2307
230,1.1513,1.0205,1.2822
235,1.1762,1.044,1.3083
240,1.2189,1.0795,1.3582
245,1.2539,1.1107,1.3971
250,1.3109,1.1583,1.4634
255,1.3387,1.1835,1.4938
260,1.3779,1.2182,1.5376
265,1.4189,1.2595,1.5784
270,1.4765,1.3124,1.6406
275,1.5198,1.348,1.6916
280,1.571,1.3953,1.7467
285,1.6206,1.4421,1.7991
290,1.6734,1.4913,1.8556
295,1.729,1.5455,1.9124
300,1.7967,1.6066,1.9868
305,1.8459,1.657,2.0349
310,1.8926,1.7043,2.0809
315,1.9387,1.7451,2.1323
320,1.988,1.8,2.1759
325,2.0428,1.8495,2.2362
330,2.1115,1.9152,2.3079
335,2.1661,1.9624,2.3698
340,2.2213,2.0212,2.4214
345,2.2424,2.0441,2.4408
350,2.3058,2.097,2.5145
355,2.3433,2.1381,2.5485
360,2.3847,2.1824,2.587
