time,mean,lower,upper
0,0.065122,0.058161,0.072082
5,0.065645,0.063372,0.067919
10,0.068603,0.066005,0.0712
15,0.072381,0.070142,0.074621
20,0.076981,0.074796,0.079167
25,0.08229,0.079669,0.084911
30,0.0888,0.08623,0.091371
35,0.093616,0.090534,0.096699
40,0.096265,0.092681,0.09985
45,0.09911,0.095021,0.1032
50,0.10036,0.095947,0.10478
55,0.10295,0.098212,0.10769
60,0.10759,0.10217,0.11301
65,0.11509,0.10795,0.12223
70,0.12163,0.11296,0.1303
75,0.12923,0.11846,0.13999
80,0.13789,0.12422,0.15157
85,0.1468,0.13036,0.16323
90,0.15758,0.13832,0.17683
95,0.16874,0.14671,0.19077
100,0.18137,0.15572,0.20702
105,0.19405,0.16526,0.22284
110,0.20792,0.17522,0.24063
115,0.2222,0.18536,0.25903
120,0.23757,0.19704,0.27809
125,0.25453,0.20961,0.29946
130,0.27161,0.22184,0.32137
135,0.28954,0.23389,0.34518
140,0.30822,0.24674,0.36971
145,0.32806,0.26218,0.39395
150,0.34813,0.27551,0.42075
155,0.36728,0.28879,0.44577
160,0.38766,0.30374,0.47157
165,0.40853,0.31933,0.49774
170,0.42787,0.33429,0.52145
175,0.44768,0.35071,0.54465
180,0.46665,0.36623,0.56707
185,0.48326,0.38109,0.58542
190,0.50417,0.39884,0.60951
195,0.52049,0.41224,0.62874
200,0.53672,0.42997,0.64348
205,0.55679,0.44368,0.6699
210,0.5739,0.45893,0.68886
215,0.5946,0.47603,0.71317
220,0.61181,0.48983,0.73378
225,0.62897,0.50551,0.75243
230,0.6427,0.51875,0.76665
235,0.66259,0.53384,0.79135
240,0.67954,0.54768,0.8114
245,0.69727,0.56189,0.83265
250,0.71278,0.57578,0.84979
255,0.73009,0.58952,0.87065
260,0.75491,0.60849,0.90132
265,0.77572,0.62694,0.9245
270,0.79722,0.64356,0.95088
275,0.8209,0.66073,0.98107
280,0.83873,0.67409,1.0034
285,0.85339,0.68596,1.0208
290,0.87093,0.70247,1.0394
295,0.88576,0.71476,1.0568
300,0.90221,0.73273,1.0717
305,0.91523,0.74506,1.0854
310,0.93213,0.76383,1.1004
315,0.94478,0.77707,1.1125
320,0.95304,0.78443,1.1217
325,0.97439,0.80539,1.1434
330,0.98783,0.82088,1.1548
335,1.0019,0.83861,1.1652
340,1.0113,0.85188,1.1708
345,1.0231,0.86673,1.1794
350,1.0392,0.883,1.1953
355,1.0533,0.90151,1.205
360,1.0634,0.91241,1.2143
