time,mean,lower,upper
0,8.0213,5.4686,10.574
5,7.7719,5.6466,9.8971
10,7.5801,4.378,10.782
15,8.079,6.1568,10.001
20,8.3675,6.1947,10.54
25,9.5011,6.7075,12.295
30,10.44,7.7558,13.124
35,11.469,8.8375,14.101
40,12.217,9.5265,14.908
45,13.928,11.12,16.736
50,16.196,13.002,19.39
55,17.488,14.195,20.782
60,17.659,14.176,21.142
65,17.768,14.49,21.045
70,18.031,14.913,21.15
75,18.055,14.973,21.138
80,17.772,14.139,21.405
85,18.066,14.522,21.61
90,17.203,13.459,20.947
95,16.562,12.813,20.312
100,16.129,12.297,19.961
105,15.642,11.502,19.782
110,14.961,11.078,18.845
115,14.881,10.782,18.98
120,14.284,10.407,18.161
125,14.042,10.126,17.959
130,13.535,9.3994,17.671
135,13.118,9.0372,17.2
140,12.856,8.6389,17.072
145,12.264,8.3374,16.191
150,12.379,8.1167,16.642
155,12.098,7.9147,16.282
160,11.757,7.6449,15.869
165,11.507,7.4562,15.559
170,11.456,7.2262,15.686
175,11.123,7.2032,15.042
180,10.996,7.1805,14.811
185,10.681,6.8769,14.485
190,10.504,6.7106,14.298
195,10.292,6.5482,14.036
200,10.21,6.5462,13.875
205,10.053,6.2848,13.82
210,9.9789,6.1391,13.819
215,9.8485,6.1129,13.584
220,9.7895,6.0883,13.491
225,9.601,6.014,13.188
230,9.5394,5.8856,13.193
235,9.403,5.7788,13.027
240,9.3171,5.6951,12.939
245,9.2401,5.6484,12.832
250,9.1742,5.5984,12.75
255,9.2488,5.6024,12.895
260,9.1971,5.4446,12.95
265,9.0277,5.3369,12.719
270,9.0806,5.3016,12.86
275,9.0804,5.1983,12.962
280,9.1282,5.1184,13.138
285,9.1806,5.1799,13.181
290,9.0924,5.0775,13.107
295,9.1687,5.0334,13.304
300,9.1628,5.0532,13.272
305,9.129,5.0501,13.208
310,9.2167,5.1236,13.31
315,9.2508,5.2324,13.269
320,9.3176,5.2099,13.425
325,9.2943,5.1269,13.462
330,9.3544,5.3161,13.393
335,9.3895,5.3179,13.461
340,9.4355,5.4525,13.418
345,9.454,5.5001,13.408
350,9.6242,5.5974,13.651
355,9.6393,5.6998,13.579
360,9.5332,5.6499,13.417
