time,mean,lower,upper
0,580,447.09,712.92
5,644.22,611.85,676.6
10,650.05,617.7,682.39
15,660.12,632.01,688.23
20,667.01,642.35,691.67
25,671.22,646.12,696.32
30,670.87,643,698.74
35,663.02,642.25,683.78
40,653.89,631.74,676.04
45,647.76,625.41,670.11
50,620.49,602.03,638.95
55,592.96,574.78,611.13
60,559.07,545.86,572.28
65,531.22,516.85,545.6
70,510.36,492.88,527.84
75,487.47,468.45,506.49
80,471.45,450.8,492.09
85,461.61,438.34,484.87
90,447.59,423.26,471.93
95,439.59,410.96,468.22
100,435.07,404.22,465.92
105,431.91,401.24,462.57
110,428.66,395.43,461.9
115,425.93,389.54,462.32
120,421.56,384.54,458.58
125,419.41,380.53,458.29
130,416.49,376.32,456.67
135,411.92,370.97,452.87
140,410.17,368.44,451.91
145,405.09,363.5,446.68
150,402.26,360.02,444.49
155,397.94,355.33,440.55
160,396.06,353.35,438.76
165,393.6,349.18,438.02
170,386.43,343.97,428.89
175,387.37,346.2,428.54
180,385.36,342.39,428.33
185,380.41,335.54,425.28
190,373.96,330.74,417.18
195,371.75,328.31,415.19
200,368.51,325.92,411.1
205,369.44,326.04,412.85
210,371.87,329.12,414.62
215,372.28,326.2,418.36
220,376.61,330.85,422.38
225,380.29,333.65,426.92
230,379.95,332.28,427.63
235,381.68,334.62,428.74
240,379.88,333.1,426.66
245,377.86,331.19,424.52
250,376.72,332.3,421.14
255,375.58,330.96,420.2
260,378.97,332.75,425.19
265,378.94,331.18,426.7
270,376.81,329.9,423.72
275,374.45,328.88,420.01
280,375.52,329.38,421.65
285,376.75,330.71,422.8
290,373.9,327.31,420.49
295,375.69,329.68,421.71
300,374.97,328.32,421.62
305,373.44,326.82,420.06
310,373.01,326.29,419.73
315,371.58,326.98,416.18
320,368.82,324.61,413.03
325,366.53,324.96,408.1
330,364.6,322.75,406.46
335,357.88,320.51,395.25
340,359.33,322.18,396.48
345,356.09,320.25,391.94
350,355.49,319.89,391.08
355,349.88,316.87,382.9
360,347.32,316.24,378.41
