time,mean,lower,upper
0,0.2131,0.14559,0.2806
5,0.17368,0.16606,0.18129
10,0.17665,0.16839,0.18492
15,0.18558,0.17705,0.1941
20,0.20306,0.19632,0.20979
25,0.22351,0.21451,0.23251
30,0.24545,0.23547,0.25544
35,0.26814,0.25863,0.27765
40,0.29417,0.28316,0.30518
45,0.31835,0.30677,0.32992
50,0.35107,0.33661,0.36554
55,0.38826,0.37138,0.40515
60,0.43177,0.41358,0.44997
65,0.47491,0.45397,0.49586
70,0.52177,0.49392,0.54963
75,0.56938,0.53625,0.60251
80,0.6181,0.57919,0.657
85,0.65789,0.60805,0.70772
90,0.71107,0.65301,0.76913
95,0.75719,0.68751,0.82686
100,0.8059,0.72282,0.88899
105,0.84793,0.75622,0.93964
110,0.89665,0.78833,1.005
115,0.93272,0.8073,1.0581
120,0.98999,0.85018,1.1298
125,1.0357,0.88158,1.1899
130,1.0822,0.91422,1.2502
135,1.1354,0.95432,1.3165
140,1.1823,0.98699,1.3775
145,1.2354,1.0251,1.4458
150,1.2816,1.0608,1.5024
155,1.3288,1.0998,1.5578
160,1.3734,1.1313,1.6156
165,1.4266,1.1733,1.6799
170,1.4902,1.2298,1.7506
175,1.5185,1.2598,1.7771
180,1.5683,1.2969,1.8397
185,1.6285,1.3526,1.9045
190,1.6873,1.4031,1.9715
195,1.7345,1.4521,2.017
200,1.7766,1.4943,2.0588
205,1.8063,1.5279,2.0847
210,1.8208,1.5407,2.101
215,1.8439,1.5557,2.1321
220,1.8543,1.5728,2.1358
225,1.871,1.5857,2.1563
230,1.8978,1.6126,2.183
235,1.9309,1.6415,2.2203
240,1.9633,1.6743,2.2522
245,2.003,1.7113,2.2947
250,2.0395,1.7455,2.3334
255,2.0763,1.7791,2.3736
260,2.0923,1.792,2.3926
265,2.134,1.825,2.4429
270,2.1793,1.8764,2.4822
275,2.2121,1.9113,2.5128
280,2.2333,1.9276,2.5389
285,2.2682,1.9721,2.5643
290,2.3113,2.0137,2.609
295,2.3359,2.0398,2.632
300,2.3798,2.0832,2.6764
305,2.4341,2.1432,2.725
310,2.4609,2.1711,2.7506
315,2.4999,2.2151,2.7847
320,2.5486,2.2731,2.8241
325,2.5761,2.3068,2.8455
330,2.6185,2.3564,2.8807
335,2.6836,2.4411,2.9261
340,2.6847,2.4413,2.9281
345,2.7282,2.4953,2.9612
350,2.7454,2.5131,2.9776
355,2.8101,2.5931,3.0271
360,2.8294,2.6234,3.0354
